Formatted_Date,Actually_Precip,Predicted_Precip
2010-03-07,0.0,0.19040288
2010-03-08,0.0,0.096642
2010-03-09,0.0,0.056502666
2010-03-10,0.0,0.12768498
2010-03-11,0.0,0.63823545
2010-03-12,0.0,-0.021670286
2010-03-13,0.0,0.45169288
2010-03-14,0.0,0.056834728
2010-03-15,0.0,0.06619842
2010-03-16,0.0,0.16996741
2010-03-17,0.0,0.050837517
2010-03-18,0.0,0.042204563
2010-03-19,0.0,-0.012271805
2010-03-20,0.0,0.06560594
2010-03-21,0.0,0.0069015166
2010-03-22,0.0,-0.0019390832
2010-03-23,0.0,0.043958496
2010-03-24,0.2,0.18368445
2010-03-25,0.0,0.57358015
2010-03-26,0.0,0.09009816
2010-03-27,0.0,0.31921333
2010-03-28,0.0,0.142343
2010-03-29,0.0,0.092520714
2010-03-30,0.3,0.43204856
2010-03-31,0.0,0.87700117
2010-04-01,0.0,0.77220434
2010-04-02,0.0,0.5534856
2010-04-03,0.0,0.10119675
2010-04-04,0.0,0.09850304
2010-04-05,0.0,0.14600903
2010-04-06,0.0,-0.035278995
2010-04-07,0.0,-0.017078158
2010-04-08,0.0,0.025654007
2010-04-09,3.4999999999999996,1.1174065
2010-04-10,0.5,0.2791252
2010-04-11,0.3,0.88683486
2010-04-12,0.0,0.5565776
2010-04-13,0.0,0.22903955
2010-04-14,0.0,0.18332487
2010-04-15,0.0,0.06801915
2010-04-16,0.0,0.07339203
2010-04-17,0.0,0.06030383
2010-04-18,0.0,0.43033856
2010-04-19,0.0,-0.21109532
2010-04-20,0.2,1.681319
2010-04-21,0.0,1.1383165
2010-04-22,0.0,0.76307976
2010-04-23,0.0,0.5097036
2010-04-24,0.0,0.54180145
2010-04-25,0.0,-0.015917579
2010-04-26,0.0,0.22809301
2010-04-27,1.2,0.83206207
2010-04-28,0.4,1.4705789
2010-04-29,0.0,1.8942317
2010-04-30,0.0,1.4204826
2010-05-01,0.0,0.8796582
2010-05-02,5.3,0.22748496
2010-05-03,2.3,2.516538
2010-05-04,0.0,1.5548271
2010-05-05,0.0,1.8113117
2010-05-06,0.0,1.13825
2010-05-07,0.0,0.6782339
2010-05-08,0.0,0.33841813
2010-05-09,0.0,0.045637153
2010-05-10,0.0,0.8424156
2010-05-11,0.0,0.40370205
2010-05-12,0.0,2.6418064
2010-05-13,0.0,1.48764
2010-05-14,0.2,0.68842477
2010-05-15,0.6,2.9687724
2010-05-16,0.0,0.25390777
2010-05-17,0.0,0.44661573
2010-05-18,0.7,0.5775746
2010-05-19,8.7,4.0350523
2010-05-20,5.0,5.6867743
2010-05-21,0.1,3.9007611
2010-05-22,15.199999999999998,2.2499087
2010-05-23,0.0,0.40069202
2010-05-24,0.0,0.9629033
2010-05-25,0.0,4.467249
2010-05-26,0.0,0.8824215
2010-05-27,0.0,0.633323
2010-05-28,0.0,0.6146778
2010-05-29,1.4,0.14625423
2010-05-30,4.4,1.0831256
2010-05-31,0.0,2.1927056
2010-06-01,0.0,1.8786801
2010-06-02,0.0,0.91080505
2010-06-03,0.0,0.68800735
2010-06-04,2.8,0.743458
2010-06-05,0.0,1.0063871
2010-06-06,0.0,0.80000424
2010-06-07,1.5,1.6043805
2010-06-08,0.3,2.9394014
2010-06-09,0.0,1.8161956
2010-06-10,0.0,2.2164657
2010-06-11,2.1,1.5711883
2010-06-12,0.0,1.9073149
2010-06-13,4.0,3.43301
2010-06-14,0.0,2.7127447
2010-06-15,0.0,2.6429536
2010-06-16,0.0,3.1450846
2010-06-17,0.0,1.8660719
2010-06-18,0.0,1.2329562
2010-06-19,1.3,-0.36550456
2010-06-20,0.0,2.6593874
2010-06-21,0.0,1.8918029
2010-06-22,0.0,1.598901
2010-06-23,0.0,1.0643373
2010-06-24,0.0,5.4857883
2010-06-25,0.0,-0.78600395
2010-06-26,0.0,-1.4892349
2010-06-27,0.0,0.47041354
2010-06-28,0.0,1.4553021
2010-06-29,22.8,1.8131036
2010-06-30,0.1,1.4049488
2010-07-01,0.5,2.9108505
2010-07-02,0.0,1.6695954
2010-07-03,42.4,8.426493
2010-07-04,11.9,4.4451575
2010-07-05,29.5,4.093999
2010-07-06,0.0,4.038083
2010-07-07,0.0,6.341777
2010-07-08,0.0,3.2175112
2010-07-09,0.0,1.2526468
2010-07-10,0.0,1.6493722
2010-07-11,0.0,2.7498486
2010-07-12,0.0,2.9146926
2010-07-13,0.0,1.3699063
2010-07-14,0.2,0.35631183
2010-07-15,0.9000000000000001,22.976835
2010-07-16,34.1,5.2776184
2010-07-17,24.0,4.0602846
2010-07-18,1.0,15.464859
2010-07-19,0.2,2.1051373
2010-07-20,0.0,3.4390175
2010-07-21,7.8,0.84431016
2010-07-22,0.5,0.64989656
2010-07-23,2.1,1.2467737
2010-07-24,0.0,1.9448676
2010-07-25,0.0,2.8600953
